run_id,event_log,condition,run_label,disable_terminations,prompt,Train/mean_reward,Train/mean_episode_length,Metrics/motion/error_body_pos,Metrics/motion/error_joint_pos,Metrics/motion/error_anchor_pos,Episode_Termination/anchor_pos,Perf/total_fps,Episode_Termination/anchor_ori,Episode_Termination/ee_body_pos
1780189976_a-person-squats-down-and-stands-up_seed0,2026-05-31_01-16-10_1780189976_a-person-squats-down-and-stands-up_seed0,loose,,True,A person squats down and stands up,13.795888900756836,250.0,0.27605387568473816,1.4944199323654175,0.30646422505378723,0.0,24114.0,0.0,0.0
1780189976_a-person-taps-themselves-on-the-head_seed0,2026-05-31_01-17-36_1780189976_a-person-taps-themselves-on-the-head_seed0,loose,,True,A person taps themselves on the head,18.449628829956055,250.0,0.0452723428606987,0.5747105479240417,0.19334451854228973,0.0,22729.0,0.0,0.0
1780189976_a-person-walks-forward_seed0,2026-05-31_01-17-03_1780189976_a-person-walks-forward_seed0,loose,,True,A person walks forward,11.559218406677246,250.0,0.10554797947406769,0.9104145765304565,0.39195650815963745,0.0,26076.0,0.0,0.0
1780189976_a-person-waves-with-their-right-hand_seed0,2026-05-31_01-17-39_1780189976_a-person-waves-with-their-right-hand_seed0,loose,,True,A person waves with their right hand,18.131885528564453,250.0,0.03478690981864929,0.6224367618560791,0.16151028871536255,0.0,22997.0,0.0,0.0
1780200983_a-person-walks-forward_seed0_strict,2026-05-31_04-19-27_1780200983_a-person-walks-forward_seed0_strict,strict,strict,False,A person walks forward,13.123023986816406,244.77999877929688,0.07483700662851334,0.8324003219604492,0.40155917406082153,0.0416666679084301,25463.0,0.0,0.2916666865348816
1780201117_a-person-squats-down-and-stands-up_seed0_loose-video,2026-05-31_04-21-52_1780201117_a-person-squats-down-and-stands-up_seed0_loose-video,loose_video,loose_video,True,A person squats down and stands up,13.65732479095459,250.0,0.27127981185913086,1.5451195240020752,0.29985883831977844,0.0,24638.0,0.0,0.0
1780201117_a-person-squats-down-and-stands-up_seed0_strict,2026-05-31_04-21-56_1780201117_a-person-squats-down-and-stands-up_seed0_strict,strict,strict,False,A person squats down and stands up,0.8372952342033386,13.520000457763672,0.23356084525585175,0.483804315328598,0.25442740321159363,71.29167175292969,31223.0,0.0,73.58333587646484
1780201117_a-person-taps-themselves-on-the-head_seed0_strict,2026-05-31_04-23-45_1780201117_a-person-taps-themselves-on-the-head_seed0_strict,strict,strict,False,A person taps themselves on the head,17.409029006958008,246.67999267578125,0.04106592386960983,0.6496263146400452,0.16530461609363556,0.0416666679084301,19406.0,0.0,0.0416666679084301
1780201117_a-person-waves-with-their-right-hand_seed0_strict,2026-05-31_04-23-46_1780201117_a-person-waves-with-their-right-hand_seed0_strict,strict,strict,False,A person waves with their right hand,18.067691802978516,250.0,0.03557681292295456,0.6063594222068787,0.1548413187265396,0.0,18592.0,0.0,0.0
1780201118_a-person-walks-forward_seed0_loose-video,2026-05-31_04-21-56_1780201118_a-person-walks-forward_seed0_loose-video,loose_video,loose_video,True,A person walks forward,11.351592063903809,250.0,0.12326012551784515,0.9162311553955078,0.42299899458885193,0.0,25569.0,0.0,0.0
